epoch,accuracy,val_accuracy,loss,val_loss
1,0.252743,0.293329,1.943591,1.720670
2,0.335641,0.288626,1.665372,1.716279
3,0.397510,0.432677,1.542189,1.493193
4,0.431905,0.434245,1.472084,1.498781
5,0.455373,0.462463,1.409897,1.391116
6,0.476271,0.502003,1.367102,1.316310
7,0.498041,0.517680,1.312085,1.288994
8,0.510014,0.449573,1.281788,1.478404
9,0.520333,0.472392,1.253991,1.377060
10,0.533917,0.512454,1.218264,1.302355
11,0.545150,0.500610,1.194909,1.321435
12,0.553640,0.558439,1.178431,1.177742
13,0.560475,0.480056,1.154599,1.383122
14,0.568095,0.539627,1.138631,1.203134
15,0.572710,0.540847,1.126635,1.240312
16,0.584509,0.557568,1.103215,1.175085
17,0.585641,0.585961,1.093107,1.107037
18,0.595132,0.577948,1.075091,1.133569
19,0.601228,0.446960,1.058858,1.497244
20,0.605756,0.564536,1.054478,1.174274
21,0.606365,0.532660,1.042488,1.248437
22,0.610023,0.575858,1.033523,1.153979
23,0.615378,0.609476,1.017565,1.035459
24,0.621212,0.497649,1.005844,1.330089
25,0.627351,0.554433,0.993420,1.177012
26,0.626350,0.567845,0.990891,1.122368
27,0.633359,0.585438,0.975518,1.094730
28,0.634491,0.610172,0.968589,1.046674
29,0.642503,0.599373,0.956196,1.078040
30,0.642328,0.595367,0.951866,1.082845
31,0.648467,0.551646,0.936868,1.177861
32,0.651907,0.591186,0.929425,1.118942
33,0.655825,0.589967,0.922712,1.123958
34,0.658917,0.593973,0.911201,1.137625
35,0.658481,0.621843,0.902178,1.022121
36,0.665273,0.544504,0.889621,1.188385
37,0.666275,0.612785,0.882543,1.038989
38,0.669889,0.617314,0.876849,1.048862
39,0.673067,0.614179,0.877073,1.026812
40,0.675897,0.602334,0.865806,1.071037
